1	0
2	2,850
3	6,420
4	14,980
5	58,700
6	149,500
7	302,800
8	472,000
9	689,000
10	965,000
11	1,085,000
12	1,278,000
13	1,562,000
14	1,958,000
15	2,498,000
16	3,248,000
17	4,180,000
18	5,365,000
19	6,820,000
20	9,780,000
21	10,340,000
22	11,280,000
23	12,760,000
24	14,620,000
25	17,480,000
26	21,200,000
27	26,050,000
28	31,920,000
29	39,200,000
30	48,100,000
31	50,480,000
32	54,150,000
33	58,920,000
34	66,500,000
35	76,900,000
36	92,800,000
37	111,500,000
38	134,200,000
39	160,900,000
40	198,000,000
41	202,500,000
42	209,800,000
43	218,600,000
44	233,900,000
45	255,700,000
46	286,000,000
47	323,500,000
48	370,200,000
49	423,800,000
50	495,000,000
51	503,000,000
52	514,000,000
53	532,000,000
54	556,000,000
55	592,000,000
56	642,000,000
57	705,000,000
58	780,000,000
59	865,000,000
60	992,000,000
61	1,015,000,000
62	1,052,000,000
63	1,108,000,000
64	1,205,000,000
65	1,348,000,000
66	1,548,000,000
67	1,785,000,000
68	2,085,000,000
69	2,425,000,000
70	2,980,000,000
71	3,010,000,000
72	3,055,000,000
73	3,115,000,000
74	3,215,000,000
75	3,350,000,000
76	3,540,000,000
77	3,770,000,000
78	4,060,000,000
79	4,395,000,000
80	4,960,000,000
81	5,020,000,000
82	5,120,000,000
83	5,280,000,000
84	5,520,000,000
85	5,860,000,000
86	6,350,000,000
87	6,940,000,000
88	7,700,000,000
89	8,520,000,000
90	9,920,000,000
91	10,020,000,000
92	10,220,000,000
93	10,520,000,000
94	11,000,000,000
95	11,680,000,000
96	12,620,000,000
97	13,850,000,000
98	15,320,000,000
99	17,000,000,000
100	20,300,000,000
101	20,420,000,000
102	20,650,000,000
103	20,980,000,000
104	21,520,000,000
105	22,280,000,000
106	23,360,000,000
107	24,650,000,000
108	26,250,000,000
109	28,120,000,000
110	29,850,000,000
111	29,980,000,000
112	30,220,000,000
113	30,580,000,000
114	31,180,000,000
115	32,020,000,000
116	33,220,000,000
117	34,650,000,000
118	36,420,000,000
119	38,420,000,000
120	40,250,000,000
121	40,420,000,000
122	40,720,000,000
123	41,180,000,000
124	41,820,000,000
125	42,720,000,000
126	44,000,000,000
127	45,520,000,000
128	47,420,000,000
129	49,620,000,000
130	51,650,000,000
131	51,820,000,000
132	52,150,000,000
133	52,620,000,000
134	53,320,000,000
135	54,320,000,000
136	55,720,000,000
137	57,420,000,000
138	59,520,000,000
139	61,920,000,000
140	64,180,000,000
141	64,350,000,000
142	64,700,000,000
143	65,220,000,000
144	66,000,000,000
145	67,080,000,000
146	68,620,000,000
147	70,480,000,000
148	72,780,000,000
149	75,380,000,000
150	77,950,000,000
151	78,180,000,000
152	78,520,000,000
153	79,050,000,000
154	79,920,000,000
155	81,120,000,000
156	82,820,000,000
157	84,850,000,000
158	87,380,000,000
159	90,250,000,000
160	92,920,000,000
161	93,150,000,000
162	93,520,000,000
163	94,080,000,000
164	95,000,000,000
165	96,320,000,000
166	98,180,000,000
167	100,420,000,000
168	103,180,000,000
169	106,350,000,000
170	109,200,000,000
171	109,450,000,000
172	109,920,000,000
173	110,620,000,000
174	111,780,000,000
175	113,420,000,000
176	115,720,000,000
177	118,420,000,000
178	121,820,000,000
179	125,150,000,000
180	128,300,000,000
181	128,620,000,000
182	129,080,000,000
183	129,760,000,000
184	130,920,000,000
185	132,520,000,000
186	134,780,000,000
187	137,520,000,000
188	140,920,000,000
189	144,780,000,000
190	148,220,000,000
191	148,520,000,000
192	149,020,000,000
193	149,760,000,000
194	151,020,000,000
195	152,780,000,000
196	155,280,000,000
197	158,250,000,000
198	161,920,000,000
199	166,120,000,000
200 MAX	169,980,000,000
